timestamp,excitement,frustration,meditation,engagementBoredom,blink,clench,laugh,smile,eyebrow,furrowBrow,lookLeft,lookRight,smirkLeft,smirkRight,winkLeft,winkRight,eeg0,eeg1,eeg2,eeg3,eeg4,eeg5,eeg6,eeg7,eeg8,eeg9,eeg10,eeg11,eeg12,eeg13,eeg14,eeg15,eeg16
1456.4156,0.53658426,0.46522543,0.33333334,0.5522388,0,0.0,0.0,0.0,0.052857384,0.0,0,0,0.0,0.0,0,0,84.0,0.0,517.0,4552.307692307693,3874.358974358975,4963.589743589744,4434.358974358975,4189.2307692307695,4513.333333333334,4389.743589743591,4365.641025641026,4328.205128205129,4652.820512820514,4283.589743589744,4286.153846153847,4144.615384615385,4536.923076923077
1456.6659,0.53658426,0.46522543,0.33333334,0.5522388,0,0.0,0.0,0.0,0.06210416,0.0,0,0,0.0,0.0,0,0,116.0,0.0,517.0,4586.153846153847,3900.0000000000005,4531.282051282052,4479.48717948718,4243.076923076924,4561.025641025642,4447.179487179487,4433.333333333334,4400.000000000001,4708.717948717949,4384.102564102564,4333.333333333334,4222.564102564103,4556.923076923077
1456.9474,0.49070036,0.46955502,0.33333334,0.5522388,1,0.0,0.0,0.0,0.049898528,0.0,0,0,0.0,0.0,0,0,23.0,0.0,0.0,4536.923076923077,3868.717948717949,4864.102564102564,4407.179487179487,4164.102564102564,4478.974358974359,4356.923076923077,4347.179487179487,4300.000000000001,4629.743589743591,4285.641025641026,4222.564102564103,4127.179487179487,4449.2307692307695
1457.1664,0.49070036,0.46955502,0.33333334,0.5522388,0,0.0,0.0,0.0,0.061373103,0.0,0,0,0.0,0.0,0,0,51.0,0.0,0.0,4559.48717948718,3845.1282051282055,4887.6923076923085,4411.282051282052,4182.564102564103,4500.512820512821,4391.794871794872,4367.6923076923085,4310.256410256411,4636.923076923077,4285.128205128206,4235.8974358974365,4137.948717948719,4461.025641025642
1457.4165,0.4815628,0.47345164,0.33333334,0.5522388,0,0.0,0.0,0.0,0.052918807,0.0,0,0,0.0,0.0,0,1,83.0,0.0,506.0,4669.743589743591,4048.717948717949,2889.7435897435903,4618.461538461539,4394.358974358975,4685.641025641026,4588.717948717949,4570.256410256411,4510.256410256411,4857.948717948719,4511.282051282052,4423.589743589744,4354.358974358975,4685.641025641026
1457.698,0.4815628,0.47345164,0.33333334,0.5522388,0,0.0,0.0,0.0,0.04896729,0.0,0,0,0.0,0.0,0,0,119.0,0.0,506.0,4552.307692307693,3816.9230769230776,4816.923076923077,4390.256410256411,4211.794871794872,4523.076923076924,4412.307692307693,4382.051282051282,4324.102564102564,4647.6923076923085,4280.000000000001,4159.48717948718,4100.000000000001,4458.461538461539
1457.917,0.5259858,0.47695863,0.33333334,0.5522388,0,0.0,0.0,0.0,0.04858821,0.0,0,0,0.0,0.0,0,0,18.0,0.0,0.0,4587.6923076923085,3788.205128205129,5049.743589743591,4375.8974358974365,4204.102564102564,4508.717948717949,4390.769230769231,4366.153846153847,4306.153846153847,4630.256410256411,4278.974358974359,4153.846153846154,4105.128205128206,4471.794871794872
1458.1672,0.5259858,0.47695863,0.33333334,0.5522388,0,0.0,0.0,0.0,0.10243764,0.0,0,0,0.0,0.0,0,0,50.0,0.0,0.0,4576.923076923077,3799.48717948718,4943.076923076924,4350.769230769231,4192.307692307693,4492.820512820514,4394.871794871796,4346.666666666667,4291.282051282052,4609.743589743591,4269.74358974359,4150.256410256411,4085.6410256410263,4487.179487179488
1458.4174,0.4384948,0.4801149,0.33333334,0.5522388,0,0.0,0.0,0.0,0.086061575,0.0,0,0,0.0,0.0,0,0,82.0,0.0,529.0,4583.589743589744,3825.1282051282055,4709.743589743591,4381.025641025642,4209.74358974359,4503.076923076924,4416.923076923077,4387.179487179487,4333.846153846154,4667.6923076923085,4302.564102564103,4165.641025641026,4118.461538461539,4487.179487179488
1458.6676,0.4384948,0.4801149,0.33333334,0.5522388,0,0.0,0.0,0.0,0.03980086,0.0,0,0,0.0,0.0,0,0,114.0,0.0,529.0,4566.666666666667,3802.564102564103,4742.051282051282,4344.102564102564,4190.769230769231,4500.512820512821,4401.538461538462,4345.128205128206,4291.794871794872,4602.564102564103,4264.615384615385,4124.615384615385,4050.2564102564106,4449.743589743591
1458.9178,0.33687848,0.48295555,0.33333334,0.5522388,0,0.0,0.0,0.0,0.11342937,0.0,0,0,0.0,0.0,0,0,17.0,0.0,0.0,4620.000000000001,3875.3846153846157,4570.769230769231,4399.48717948718,4220.512820512821,4522.564102564103,4433.846153846154,4390.256410256411,4338.974358974359,4681.025641025642,4349.743589743591,4218.461538461539,4152.820512820514,4550.769230769231
1459.1681,0.33687848,0.48295555,0.33333334,0.5522388,0,0.0,0.0,0.0,0.05493958,0.0,0,0,0.0,0.0,0,0,49.0,0.0,0.0,4609.743589743591,3873.8461538461543,4510.769230769231,4395.384615384616,4222.564102564103,4526.153846153847,4451.794871794872,4408.717948717949,4348.205128205129,4677.435897435898,4342.051282051282,4216.923076923077,4162.564102564103,4511.794871794872
1459.4182,0.33847788,0.48551214,0.33333334,0.5522388,0,0.0,0.0,0.0,0.056430217,0.0,0,0,0.0,0.0,0,0,81.0,0.0,510.0,4744.615384615386,4121.025641025642,2615.3846153846157,4603.076923076924,4393.333333333334,4671.282051282052,4622.051282051282,4606.666666666667,4532.820512820514,4869.2307692307695,4530.769230769231,4441.538461538462,4347.179487179487,4698.974358974359
1459.6685,0.33847788,0.48551214,0.33333334,0.5522388,0,0.0,0.0,0.0,0.036114708,0.0,0,0,0.0,0.0,0,0,113.0,0.0,510.0,4657.435897435898,3991.7948717948725,3787.692307692308,4472.820512820514,4309.743589743591,4596.923076923077,4548.205128205129,4518.974358974359,4443.589743589744,4775.384615384616,4415.384615384616,4334.871794871796,4244.102564102564,4566.153846153847
1459.9187,0.45330265,0.48781306,0.33333334,0.5522388,0,0.0,0.0,0.0,0.049358215,0.0,0,0,0.0,0.0,0,0,16.0,0.0,0.0,4612.307692307693,3911.7948717948725,4760.512820512821,4355.384615384616,4187.6923076923085,4490.256410256411,4416.923076923077,4384.102564102564,4318.974358974359,4644.615384615385,4277.435897435898,4220.000000000001,4122.564102564103,4426.153846153847
1460.169,0.45330265,0.48781306,0.33333334,0.5522388,0,0.0,0.0,0.0,0.025496371,0.0,0,0,0.0,0.0,0,0,48.0,0.0,0.0,4567.6923076923085,3860.512820512821,5096.410256410257,4300.512820512821,4136.923076923077,4436.410256410257,4380.000000000001,4360.000000000001,4285.128205128206,4620.000000000001,4268.205128205129,4211.282051282052,4104.102564102564,4387.6923076923085
