excitement,engagement,frustration,smile,laugh,clench,minExcitement,minEngagement,minFrustration,maxExcitement,maxEngagement,maxFrustration,MeanExcitement,MeanEngagement,MeanFrustration,class
0.3576852465268058,0.6006238652797193,0.4802292357109549,1.0,0.0,0.0,0.2655309699999993,0.5844360999999989,0.41416679999999906,0.42314289999999927,0.6285551999999989,0.5144502999999989,0.3596518093533441,0.5984281933529796,0.4834657318238711,relaxed
0.20330825636363595,0.6296728854545443,0.4347585799999993,1.0,0.0,0.0,0.17650676999999956,0.5865585999999987,0.40508564999999924,0.2522653299999997,0.6489297999999988,0.47974255999999915,0.201569023416649,0.6293959337892487,0.43397322716231573,relaxed
0.0852808630549449,0.5362312287472517,0.5431400478021968,0.0,0.0,0.0,0.023816853999999856,0.520671399999999,0.47974255999999904,0.18040163999999978,0.5865585999999989,0.599403259999999,0.07424810117148194,0.5378924273920688,0.5370734632318732,relaxed
0.23729176715151468,0.4999403276363627,0.6180125326060594,1.0,0.0,0.0,0.1298443699999997,0.469929519999999,0.5994032599999988,0.3312764499999995,0.526207569999999,0.6318959599999989,0.21219730215342708,0.5024726182169488,0.6173586276523776,relaxed
0.4437430661538453,0.47853758923076833,0.5401702384615374,3.0,0.0,0.0,0.2545094199999995,0.46010893999999913,0.49382537999999904,0.6160679499999989,0.4956912999999991,0.6056806999999989,0.41722153148606117,0.4784018212377244,0.5390789576977123,relaxed
0.6893916818181806,0.5117190327272718,0.4581290527272718,11.0,0.0,0.0,0.5949928999999988,0.5013908999999991,0.43442543999999916,0.8799484999999986,0.5223363599999991,0.4811481999999992,0.6847395138095371,0.5116735244155918,0.4578769750222668,relaxed
0.8114700649450535,0.5316660743296694,0.4149216828571421,8.0,0.0,0.0,0.5881577999999985,0.5223363599999991,0.4028578699999993,0.9138208999999984,0.537989399999999,0.4344254399999992,0.815626097379346,0.531083205240649,0.41584202448468593,relaxed
0.6160249627272716,0.5417961715151506,0.41616256945454466,1.0,0.0,0.0,0.588157799999999,0.537989399999999,0.41190775999999923,0.6264967299999988,0.5464101999999988,0.42542339999999923,0.6141176346909303,0.5414206393694109,0.4161959014885337,relaxed
0.4925613119120869,0.5755570563076912,0.38731701584615313,0.0,0.0,0.0,0.3807355199999991,0.5464101999999988,0.36430382999999933,0.6264827999999989,0.6077324999999989,0.42542339999999923,0.495505331186503,0.5726560854420065,0.38943376033290067,relaxed
0.340882009636363,0.6636650235151502,0.3886238175151508,0.0,0.0,0.0,0.3187744999999993,0.6077324999999988,0.3478420699999992,0.3897190399999993,0.6981513999999989,0.46860939999999923,0.3430497843909605,0.6584801283221298,0.3834075961420923,relaxed
0.2703093460839156,0.6766339642773879,0.611643891270395,0.0,0.0,0.0,0.20954922999999948,0.6460029999999987,0.4686093999999989,0.3401502699999994,0.7034398299999988,0.7097446299999988,0.266674595330388,0.6790582542316386,0.5970690849941674,relaxed
0.3297558349417243,0.6198057488344977,0.7857590757575743,0.0,0.0,0.0,0.26037704999999933,0.6018771999999989,0.7097446299999987,0.3925351499999994,0.6460029999999989,0.8378938399999984,0.32308994940668556,0.6215362326174197,0.7794058787123821,relaxed
